name,exposure_time,ut_datetime,observation_id,data_label,object,observation_class,observation_type
S20220910S0609.fits,0.0,2022-09-10 09:49:04.200000,GS-CAL20220910-3,GS-CAL20220910-3-001,Bias,dayCal,BIAS
S20220910S0612.fits,0.0,2022-09-10 09:50:20.700000,GS-CAL20220910-3,GS-CAL20220910-3-002,Bias,dayCal,BIAS
S20220910S0616.fits,0.0,2022-09-10 09:51:37.200000,GS-CAL20220910-3,GS-CAL20220910-3-003,Bias,dayCal,BIAS
S20220910S0620.fits,0.0,2022-09-10 09:53:01.200000,GS-CAL20220910-3,GS-CAL20220910-3-004,Bias,dayCal,BIAS
S20220910S0624.fits,0.0,2022-09-10 09:54:17.200000,GS-CAL20220910-3,GS-CAL20220910-3-005,Bias,dayCal,BIAS
S20220910S0627.fits,0.0,2022-09-10 09:55:33.200000,GS-CAL20220910-3,GS-CAL20220910-3-006,Bias,dayCal,BIAS
S20220910S0630.fits,0.0,2022-09-10 09:56:22.700000,GS-CAL20220910-3,GS-CAL20220910-3-007,Bias,dayCal,BIAS
S20220910S0633.fits,0.0,2022-09-10 09:57:11.700000,GS-CAL20220910-3,GS-CAL20220910-3-008,Bias,dayCal,BIAS
S20220910S0636.fits,0.0,2022-09-10 09:58:01.200000,GS-CAL20220910-3,GS-CAL20220910-3-009,Bias,dayCal,BIAS
S20220910S0639.fits,0.0,2022-09-10 09:58:51.700000,GS-CAL20220910-3,GS-CAL20220910-3-010,Bias,dayCal,BIAS
S20220910S0663.fits,0.0,2022-09-10 10:05:54.700000,GS-CAL20220910-3,GS-CAL20220910-3-021,Bias,dayCal,BIAS
S20220910S0665.fits,0.0,2022-09-10 10:06:30.200000,GS-CAL20220910-3,GS-CAL20220910-3-022,Bias,dayCal,BIAS
S20220910S0667.fits,0.0,2022-09-10 10:07:06.200000,GS-CAL20220910-3,GS-CAL20220910-3-023,Bias,dayCal,BIAS
S20220910S0670.fits,0.0,2022-09-10 10:07:42.700000,GS-CAL20220910-3,GS-CAL20220910-3-024,Bias,dayCal,BIAS
S20220910S0672.fits,0.0,2022-09-10 10:08:19.700000,GS-CAL20220910-3,GS-CAL20220910-3-025,Bias,dayCal,BIAS
S20220911S0329.fits,0.0,2022-09-11 08:53:01.200000,GS-CAL20220911-2,GS-CAL20220911-2-001,Bias,dayCal,BIAS
S20220911S0330.fits,0.0,2022-09-11 08:54:17.200000,GS-CAL20220911-2,GS-CAL20220911-2-002,Bias,dayCal,BIAS
S20220911S0331.fits,0.0,2022-09-11 08:55:33.200000,GS-CAL20220911-2,GS-CAL20220911-2-003,Bias,dayCal,BIAS
S20220911S0332.fits,0.0,2022-09-11 08:56:48.700000,GS-CAL20220911-2,GS-CAL20220911-2-004,Bias,dayCal,BIAS
S20220911S0333.fits,0.0,2022-09-11 08:58:04.700000,GS-CAL20220911-2,GS-CAL20220911-2-005,Bias,dayCal,BIAS
S20220911S0334.fits,0.0,2022-09-11 08:59:20.200000,GS-CAL20220911-2,GS-CAL20220911-2-006,Bias,dayCal,BIAS
S20220911S0335.fits,0.0,2022-09-11 09:00:10.700000,GS-CAL20220911-2,GS-CAL20220911-2-007,Bias,dayCal,BIAS
S20220911S0336.fits,0.0,2022-09-11 09:01:01.200000,GS-CAL20220911-2,GS-CAL20220911-2-008,Bias,dayCal,BIAS
S20220911S0337.fits,0.0,2022-09-11 09:01:50.700000,GS-CAL20220911-2,GS-CAL20220911-2-009,Bias,dayCal,BIAS
S20220911S0338.fits,0.0,2022-09-11 09:02:39.700000,GS-CAL20220911-2,GS-CAL20220911-2-010,Bias,dayCal,BIAS
S20220911S0349.fits,0.0,2022-09-11 09:09:11.700000,GS-CAL20220911-2,GS-CAL20220911-2-021,Bias,dayCal,BIAS
S20220911S0350.fits,0.0,2022-09-11 09:09:48.200000,GS-CAL20220911-2,GS-CAL20220911-2-022,Bias,dayCal,BIAS
S20220911S0351.fits,0.0,2022-09-11 09:10:24.700000,GS-CAL20220911-2,GS-CAL20220911-2-023,Bias,dayCal,BIAS
S20220911S0352.fits,0.0,2022-09-11 09:11:01.200000,GS-CAL20220911-2,GS-CAL20220911-2-024,Bias,dayCal,BIAS
S20220911S0353.fits,0.0,2022-09-11 09:11:38.200000,GS-CAL20220911-2,GS-CAL20220911-2-025,Bias,dayCal,BIAS
S20220912S0313.fits,0.0,2022-09-12 10:28:03.200000,GS-CAL20220912-1,GS-CAL20220912-1-001,Bias,dayCal,BIAS
S20220912S0314.fits,0.0,2022-09-12 10:29:19.700000,GS-CAL20220912-1,GS-CAL20220912-1-002,Bias,dayCal,BIAS
S20220912S0315.fits,0.0,2022-09-12 10:30:35.700000,GS-CAL20220912-1,GS-CAL20220912-1-003,Bias,dayCal,BIAS
S20220912S0316.fits,0.0,2022-09-12 10:31:52.700000,GS-CAL20220912-1,GS-CAL20220912-1-004,Bias,dayCal,BIAS
S20220912S0317.fits,0.0,2022-09-12 10:33:08.200000,GS-CAL20220912-1,GS-CAL20220912-1-005,Bias,dayCal,BIAS
S20220912S0318.fits,0.0,2022-09-12 10:34:25.200000,GS-CAL20220912-1,GS-CAL20220912-1-006,Bias,dayCal,BIAS
S20220912S0319.fits,0.0,2022-09-12 10:35:14.200000,GS-CAL20220912-1,GS-CAL20220912-1-007,Bias,dayCal,BIAS
S20220912S0320.fits,0.0,2022-09-12 10:36:03.200000,GS-CAL20220912-1,GS-CAL20220912-1-008,Bias,dayCal,BIAS
S20220912S0321.fits,0.0,2022-09-12 10:36:52.700000,GS-CAL20220912-1,GS-CAL20220912-1-009,Bias,dayCal,BIAS
S20220912S0322.fits,0.0,2022-09-12 10:37:41.700000,GS-CAL20220912-1,GS-CAL20220912-1-010,Bias,dayCal,BIAS
S20220912S0333.fits,0.0,2022-09-12 10:44:14.200000,GS-CAL20220912-1,GS-CAL20220912-1-021,Bias,dayCal,BIAS
S20220912S0334.fits,0.0,2022-09-12 10:44:50.700000,GS-CAL20220912-1,GS-CAL20220912-1-022,Bias,dayCal,BIAS
S20220912S0335.fits,0.0,2022-09-12 10:45:26.200000,GS-CAL20220912-1,GS-CAL20220912-1-023,Bias,dayCal,BIAS
S20220912S0336.fits,0.0,2022-09-12 10:46:02.700000,GS-CAL20220912-1,GS-CAL20220912-1-024,Bias,dayCal,BIAS
S20220912S0337.fits,0.0,2022-09-12 10:46:39.200000,GS-CAL20220912-1,GS-CAL20220912-1-025,Bias,dayCal,BIAS
S20220915S0040.fits,0.0,2022-09-15 10:07:50.700000,GS-CAL20220915-3,GS-CAL20220915-3-001,Bias,dayCal,BIAS
S20220915S0041.fits,0.0,2022-09-15 10:09:15.200000,GS-CAL20220915-3,GS-CAL20220915-3-002,Bias,dayCal,BIAS
S20220915S0042.fits,0.0,2022-09-15 10:10:30.700000,GS-CAL20220915-3,GS-CAL20220915-3-003,Bias,dayCal,BIAS
S20220915S0043.fits,0.0,2022-09-15 10:11:46.700000,GS-CAL20220915-3,GS-CAL20220915-3-004,Bias,dayCal,BIAS
S20220915S0044.fits,0.0,2022-09-15 10:13:03.200000,GS-CAL20220915-3,GS-CAL20220915-3-005,Bias,dayCal,BIAS
S20220915S0045.fits,0.0,2022-09-15 10:14:18.700000,GS-CAL20220915-3,GS-CAL20220915-3-006,Bias,dayCal,BIAS
S20220915S0046.fits,0.0,2022-09-15 10:15:08.700000,GS-CAL20220915-3,GS-CAL20220915-3-007,Bias,dayCal,BIAS
S20220915S0047.fits,0.0,2022-09-15 10:15:57.700000,GS-CAL20220915-3,GS-CAL20220915-3-008,Bias,dayCal,BIAS
